freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f56,574234__kbrecordzz__groove-metal-break-6.wav,234752,238944,0.014105030598531243,-515.77246,134.62468,16.259104,31.963947,7.9807043,17.853022,10.749354,2.9863997,10.070282,1.006243,5.937227,0.9728033,5.434133
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f57,574234__kbrecordzz__groove-metal-break-6.wav,238944,243136,0.009166665659606001,-551.86646,120.09508,4.515468,43.44174,7.7740912,18.573797,19.994036,2.331638,2.3841953,-6.887389,-4.4911685,-4.5418725,-2.1668026
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f58,574234__kbrecordzz__groove-metal-break-6.wav,243136,247328,0.006400987847160747,-556.70526,114.74269,3.2563355,36.057045,-1.5796103,11.698511,9.334829,-0.7357799,-3.300604,-9.532852,-0.18784752,-5.1212845,-3.938372
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f59,574234__kbrecordzz__groove-metal-break-6.wav,247328,251520,0.008634885758844042,-692.43945,172.68129,19.608877,56.39823,16.411318,26.068415,10.264651,0.0637836,-0.19821125,-0.5626978,-3.3024843,-3.4392943,1.5532126
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f60,574234__kbrecordzz__groove-metal-break-6.wav,251520,255712,0.013282946957886675,-544.8456,130.82118,10.374533,26.151098,5.265791,4.478956,4.563209,-2.1204662,2.7114089,-2.2238436,-0.78270435,-6.8041263,3.5061734
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f61,574234__kbrecordzz__groove-metal-break-6.wav,255712,259904,0.009521433415303704,-564.7226,111.6761,1.7720896,31.034227,14.135871,14.610997,15.859807,7.8116875,8.190538,3.8288085,-7.838184,-7.9042277,-0.49015117
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f62,574234__kbrecordzz__groove-metal-break-6.wav,259904,264096,0.00971931264600681,-580.48206,120.98878,-4.6042004,41.777462,10.548589,20.275942,13.701853,3.0638685,-2.486911,-5.009761,-6.304744,0.8441859,4.7870693
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f63,574234__kbrecordzz__groove-metal-break-6.wav,264096,268288,0.009444241305343977,-600.3133,122.87577,18.267736,26.411732,19.464016,16.251,14.2920885,5.2969337,3.6892614,8.69157,-6.3326287,-1.5538284,-3.0516675
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f64,574234__kbrecordzz__groove-metal-break-6.wav,268288,272480,0.010446934299614593,-614.0646,142.79686,4.251684,45.475292,21.828527,14.724514,9.273976,5.114505,-5.677154,10.638292,-14.363917,-4.6428676,-1.5185862
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f65,574234__kbrecordzz__groove-metal-break-6.wav,272480,276672,0.015030377693758666,-541.68054,114.38021,13.424043,28.392223,12.233341,12.791539,17.606096,11.779646,10.978165,4.539522,0.44981357,-1.0849983,2.599249
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f66,574234__kbrecordzz__groove-metal-break-6.wav,276672,280864,0.009361343529388194,-581.5626,127.84131,-0.79671264,43.71852,12.986948,17.39341,21.225933,9.978087,1.1420914,8.792374,-1.3453966,5.6271935,5.8599086
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f67,574234__kbrecordzz__groove-metal-break-6.wav,280864,285056,0.013505240433088695,-538.3133,120.941956,8.577896,40.439384,19.124632,14.695992,15.078437,8.74139,3.8221936,6.993547,5.424609,2.458531,1.6837696
